AV280  ACRILICO
DI515  ELEMENTOS DE PEDAGOGIA Y DIDACTICA PARA LA ENSEÑANZA DEL DISEÑO
H0339  ELEMENTOS DE PEDAGOGIA Y DIDACTICA PARA LA ENSEÑANZA DEL DISEÑO
AV227  ELEMENTOS DE PINTURA
PD275  ELEMENTOS DE PSICOLOGIA
A0207  ENMARCADO DE OBRA
A0675  ENSAMBLE DE MUSICA ETNICA I
MU508  ENSAMBLE DE MUSICA ETNICA I
A0676  ENSAMBLE DE MUSICA ETNICA II
MU513  ENSAMBLE DE MUSICA ETNICA II
A0677  ENSAMBLE DE MUSICA ETNICA III
MU517  ENSAMBLE DE MUSICA ETNICA III
A0678  ENSAMBLE DE MUSICA ETNICA IV
MU521  ENSAMBLE DE MUSICA ETNICA IV
A0361  ENSAMBLE VOCAL I
MU144  ENSAMBLE VOCAL I
A0362  ENSAMBLE VOCAL II
MU145  ENSAMBLE VOCAL II
MU146  ENSAMBLE VOCAL III
MU147  ENSAMBLE VOCAL IV
MU148  ENSAMBLE VOCAL V
MU149  ENSAMBLE VOCAL VI
TC132  ENSAYE DE MATERIALES
A0293  ENTRENAMIENTO CORPORAL AVANZADO
A0294  ENTRENAMIENTO CORPORAL BASICO
A0288  ENTRENAMIENTO Y USO DE LA MASCARA TEATRAL
PD152  ENVASE Y EMBALAJE
PD520  EQUIPO Y MAQUINARIA PARA LA CONSTRUCCION
PD135  EQUIPOS, MAQUINAS Y HERRAMIENTAS I
PD136  EQUIPOS, MAQUINAS Y HERRAMIENTAS II
I3641  ERGONOMIA COGNITIVA
PD129  ERGONOMIA DEL ESPACIO I
PD130  ERGONOMIA DEL ESPACIO II
PD127  ERGONOMIA DEL PRODUCTO I
PD128  ERGONOMIA DEL PRODUCTO II
PD141  ERGONOMIA DEL PRODUCTO III
PD142  ERGONOMIA INDUSTRIAL
I3647  ERGONOMIA ORGANIZACIONAL
I3653  ERGONOMIA PARA GRUPOS ESPECIALES
TH637  ERGONOMIA Y ARQUITECTURA
I2004  ESCAPARATISMO Y DISPLAY
A0132  ESCENOGRAFIA
I2118  ESCENOGRAFIA
AE187  ESCENOGRAFIA FOTOGRAFICA I
AE188  ESCENOGRAFIA FOTOGRAFICA II
AE199  ESCENOGRAFIA I
AE200  ESCENOGRAFIA II
AE186  ESCENOTECNIA FOTOGRAFICA I
A0190  ESCULTURA CON CUERPOS LAMINARES Y FILAMENTARES
A0184  ESCULTURA EXPERIMENTAL
AV150  ESCULTURA I
AV151  ESCULTURA II
AV152  ESCULTURA III
AV153  ESCULTURA IV
AV154  ESCULTURA V
AV155  ESCULTURA VI
AV156  ESCULTURA VII
AE196  ESGRIMA BASICA
A0223  ESMALTADO EN BAJA TEMPERATURA
PU209  ESPACIO PUBLICO Y CIUDAD
TH681  ESPACIO PUBLICO Y GESTION URBANA
P0506  ESTADISTICA
TH549  ESTADISTICA APLICADA
TH548  ESTADISTICA BASICA
H0345  ESTADISTICA BASICA Y APLICADA
I3634  ESTADISTICA DESCRIPTIVA
MC106  ESTADISTICA I
I3635  ESTADISTICA INFERENCIAL
H0309  ESTADISTICAS PARA EL URBANISMO
TH711  ESTADISTICAS PARA EL URBANISMO
A0177  ESTAMPA CALCOGRAFICA
A0178  ESTAMPA COLOGRAFICA
A0179  ESTAMPA EN HUECO
A0181  ESTAMPA EN RELIEVE
A0183  ESTAMPA EXPERIMENTAL
AV157  ESTAMPA I
AV158  ESTAMPA II
AV159  ESTAMPA III
AV160  ESTAMPA IV
A0180  ESTAMPA LITOGRAFICA
A0182  ESTAMPA SERIGRAFICA
AV161  ESTAMPA V
AV162  ESTAMPA VI
AV163  ESTAMPA VII
TH623  ESTEREOTOMIA
TH112  ESTETICA
A0700  ESTETICA DEL CINE HISPANOAMERICANO
S0249  ESTETICA DEL CINE HISPANOAMERICANO
IS516  ESTETICA DEL CINE HISPANOAMERICANO
TH528  ESTETICA DEL CINE HISPANOAMERICANO
DI510  ESTRATEGIAS DE DISEÑO PARA LA PRODUCTIVIDAD
H0334  ESTRATEGIAS DE DISEÑO PARA LA PRODUCTIVIDAD
A0673  ESTRUCTURA Y FORMA DE LOS GENEROS CRIOLLOS Y AFROAMERICANOS
MU510  ESTRUCTURA Y FORMA DE LOS GENEROS CRIOLLOS Y AFROAMERICANOS
A0672  ESTRUCTURA Y FORMA DEL SON MEXICANO
MU509  ESTRUCTURA Y FORMA DEL SON MEXICANO
TH592  ESTRUCTURA, NORMATIVIDAD Y MARCO JURIDICO DE LA PLANEACION URBANA
TC525  ESTRUCTURAS
A0266  ESTRUCTURAS ELEMENTALES DE LA COREOGRAFIA
TC113  ESTRUCTURAS I
TC114  ESTRUCTURAS II
PU171  ESTUDIO DE CENTROS URBANOS
I2014  ESTUDIO DE LA MODA CONTEMPORANEA:ANALISIS INTERNACIONAL
I2099  ESTUDIO DE MATERIALES PARA USO EN CALZADO Y COMPLEMENTOS
I2101  ESTUDIO DE MATERIALES PARA USO EN JOYERIA
H0390  ESTUDIOS SOBRE ARQUITECTURA
TH645  ESTUDIOS SOBRE ARQUITECTURA
TH647  ESTUDIOS SOBRE LITERATURA DEL SIGLO XX
TH646  ESTUDIOS SOBRE TEATRO
MU236  ETNOMUSICOLOGIA
MU500  ETNOMUSICOLOGIA
TH502  EVALUACION DE LAS CORRIENTES ARTISTICAS
H0289  EVALUACION DE POLITICAS Y PROGRAMAS URBANOS
TH667  EVALUACION DE POLITICAS Y PROGRAMAS URBANOS
TH593  EVALUACION DE POLITICAS, PROGRAMAS Y PROYECTOS URBANOS
PU199  EVALUACION DE PROYECTOS
I3636  EVALUACIONES SUBJETIVAS
AV510  EXPERIMENTACION
RE101  EXPRESION ARQUITECTONICA I
RE102  EXPRESION ARQUITECTONICA II
RE111  EXPRESION ARQUITECTONICA III
AE142  EXPRESION CORPORAL I
AE143  EXPRESION CORPORAL II
AV124  EXPRESION CROMATICA
A0284  EXPRESION CUERPO, VOZ, EMOCION
AV186  EXPRESION FOTOGRAFICA
A0208  EXPRESION FOTOGRAFICA
RE113  EXPRESION GRAFICA I
RE114  EXPRESION GRAFICA II
RE115  EXPRESION GRAFICA III
RE106  EXPRESION GRAFICA INDUSTRIAL I
RE107  EXPRESION GRAFICA INDUSTRIAL II
RE121  EXPRESION GRAFICA INDUSTRIAL III (BIENES DE CONSUMO)
RE116  EXPRESION GRAFICA IV
RE117  EXPRESION GRAFICA V
RE118  EXPRESION GRAFICA VI
RE119  EXPRESION GRAFICA VII
RE120  EXPRESION GRAFICA VIII
AV123  EXPRESION MONOCROMATICA
AV125  EXPRESION TRIDIMENSIONAL
A0285  EXPRESION VERBAL
AE106  EXPRESION VERBAL I (FONETICA)
AE107  EXPRESION VERBAL II (VERSIFICACION)
A0086  EXPRESION Y COMUNICACION EN EL ARTE
A0209  FABRICACION DE PAPEL
I3642  FACTORES AMBIENTALES
DI506  FACTORES DE CALIDAD DEL PRODUCTO
P0509  FACTORES DE CALIDAD DEL PRODUCTO
H0330  FACTORES DE CALIDAD DEL PRODUCTO
I3656  FACTORES HUMANOS EN INFORMATICA
I2013  FIBRAS TEXTILES
H0307  FILOSOFIA DE LA CIUDAD
I2807  FILOSOFIA DE LA EDUCACION
TH707  FILOSOFOS DE LA CIUDAD
H0385  FINANCIAMIENTO
TC517  FINANCIAMIENTO
TH691  FINANCIAMIENTO A LA VIVIENDA
TH700  FINANCIAMIENTO A LA VIVIENDA
A0019  FINANCIAMIENTO CULTURAL
H0296  FINANZAS MUNICIPALES
TH675  FINANZAS MUNICIPALES
PD133  FISICA APLICADA
AV504  FISICA DE LA LUZ
I3643  FISIOLOGIA DEL TRABAJO
A0250  FISIOLOGIA Y KINESIOLOGIA DE LA DANZA
TH746  FOLKLORE MEXICANO
MU505  FOLKLORE MUSICAL MEXICANO
A0191  FORJA DE METALES
A0008  FORMACION DE PUBLICOS
A0234  FORMAS CONTEMPORANEAS EN LA DANZA
A0235  FORMAS MODERNAS EN LA DANZA
A0236  FORMAS MUSICALES EN EL FOLCLOR MEXICANO
A0156  FOTOENSAYO
PU505  FOTOGAMETRIA ARQUITECTONICA
AV233  FOTOGRABADO
A0136  FOTOGRAFIA APLICADA A LA PUBLICIDAD
A0151  FOTOGRAFIA ARQUITECTONICA Y TURISTICA
AV217  FOTOGRAFIA BASICA I
AV218  FOTOGRAFIA BASICA II
AV136  FOTOGRAFIA BLANCO Y NEGRO
A0152  FOTOGRAFIA DE PAISAJE Y NATURALEZA
A0154  FOTOGRAFIA DE PRODUCTO
AV187  FOTOGRAFIA DE PRODUCTOS
A0158  FOTOGRAFIA DE RETRATO EN ESTUDIO
A0157  FOTOGRAFIA DE RETRATOS EN EXTERIORES
AV137  FOTOGRAFIA EN COLOR
AV164  FOTOGRAFIA I
AV165  FOTOGRAFIA II
AV166  FOTOGRAFIA III
AV167  FOTOGRAFIA IV
A0153  FOTOGRAFIA PUBLICITARIA
AV188  FOTOGRAFIA PUBLICITARIA I
AV189  FOTOGRAFIA PUBLICITARIA II
AV168  FOTOGRAFIA V
AV169  FOTOGRAFIA VI
AV170  FOTOGRAFIA VII
H0265  FOTOGRAMETRIA ARQUITECTONICA
PD121  FOTOMECANICA
A0155  FOTOPERIODISMO
A0351  FRANCES APLICADO A LA MUSICA I
A0352  FRANCES APLICADO A LA MUSICA II
TH284  FRANCES BASICO
TH133  FRANCES I
TH134  FRANCES II
TH135  FRANCES III
TH285  FRANCES TECNICO
MU202  FUGA I
MU203  FUGA II
AE164  FUNDAMENTOS DE DANZA CONTEMPORANEA I
AE165  FUNDAMENTOS DE DANZA CONTEMPORANEA II
AE166  FUNDAMENTOS DE DANZA CONTEMPORANEA III
A0668  FUNDAMENTOS DE LA ETNOMUSICOLOGIA
I4361  FUNDAMENTOS DE LA ETNOMUSICOLOGIA
MU506  FUNDAMENTOS DE LA ETNOMUSICOLOGIA
A0667  FUNDAMENTOS DE LA MUSICOLOGIA
MU511  FUNDAMENTOS DE LA MUSICOLOGIA
TC104  FUNDAMENTOS DEL DISEÑO ESTRUCTURAL
I1998  FUNDAMENTOS DEL DISEÑO I
AV102  FUNDAMENTOS I
AV103  FUNDAMENTOS II
AV104  FUNDAMENTOS III
AV105  FUNDAMENTOS IV
I3638  FUNDAMENTOS TEORICOS EN ERGONOMIA
TH281  GENEROS CINE
GO112  GEOGRAFIA DE LA POBLACION
GO160  GEOGRAFIA ECONOMICA
GO123  GEOGRAFIA RURAL
H0311  GEOGRAFIA URBANA
PU167  GEOGRAFIA URBANA
TH639  GEOGRAFIA URBANA
TH713  GEOGRAFIA URBANA
GO108  GEOLOGIA I
A0116  GEOMETRIA ARTISTICA
RE100  GEOMETRIA DESCRIPTIVA
H0312  GESTION AMBIENTAL URBANA
P0508  GESTION DE DISEÑO
H0321  GESTION DE LA CIUDAD
DI514  GESTION DEL DISEÑO
H0338  GESTION DEL DISEÑO
PU193  GESTION DEL PLANEAMIENTO
I2111  GESTION ESTRATEGICA Y PRODUCCION DE MODA
I2106  GESTION Y PRODUCCION DE EVENTOS DE MODA
TH516  GESTION Y PROMOCION ARTISTICA
I2802  GESTION Y PROMOCION CULTURAL-ARTISTICA
AE108  GIMNASIA RITMICA
PU218  GLOBALIZACION Y FLUJOS URBANOS TERRITORIALES
H0388  GLOSARIO DE TERMINOS DE LAS ARTES, LA ARQUITECTURA Y LA INGENIERIA
PD515  GLOSARIO DE TERMINOS DE LAS ARTES, LA ARQUITECTURA Y LA INGENIERIA
H0295  GOBERNABILIDAD Y DESARROLLO URBANO
TH674  GOBERNABILIDAD Y DESARROLLO URBANO
AV221  GRABADO BASICO I
AV222  GRABADO BASICO II
PD150  GRABADO EN VIDRIO
AV207  GRABADO I
AV208  GRABADO II
AV209  GRABADO III
AV210  GRABADO IV
AV513  GUION CINEMATOGRAFICO
A0718  GUION CINEMATOGRAFICO
S0267  GUION CINEMATOGRAFICO
IS534  GUION CINEMATOGRAFICO
AV264  GUION I
A0692  GUION I
S0241  GUION I
IS508  GUION I
AV265  GUION II
A0693  GUION II
S0242  GUION II
IS509  GUION II
AV266  GUION III
A0694  GUION III
S0243  GUION III
IS510  GUION III
AV267  GUION IV
A0695  GUION IV
S0244  GUION IV
IS511  GUION IV
AV268  GUION V
AV269  GUION VI
TH585  HACIA UNA NUEVA TEORIA DE LA ARQUITECTURA
A0201  HERRAMIENTAS PARA ESCULTURA
A0202  HERRAMIENTAS PARA ESTAMPA
A0203  HERRAMIENTAS Y ELEMENTOS PARA DIBUJO
A0204  HERRAMIENTAS Y ELEMENTOS PARA PINTURA
TC127  HERRERIA
PU178  HIDROLOGIA
TH254  HISTORIA ARTES PLASTICAS SIGLO XX
A0096  HISTORIA CONTEMPORANEA DE LAS ARTES VISUALES
A0225  HISTORIA CONTEMPORANEAS DE LAS ARTES ESCENICAS
H0371  HISTORIA DE LA ARQUITECTURA EN GUADALAJARA
TH624  HISTORIA DE LA ARQUITECTURA EN GUADALAJARA
H0372  HISTORIA DE LA ARQUITECTURA EN JALISCO
TH625  HISTORIA DE LA ARQUITECTURA EN JALISCO
H0353  HISTORIA DE LA ARQUITECTURA MEXICANA DEL SIGLO XIX
H0349  HISTORIA DE LA ARQUITECTURA MEXICANA DEL SIGLO XVI
TH554  HISTORIA DE LA ARQUITECTURA MEXICANA DEL SIGLO XVI
TH557  HISTORIA DE LA ARQUITECTURA MEXICANA SIGLO XIX
H0347  HISTORIA DE LA ARQUITECTURA PREHISPANICA
TH552  HISTORIA DE LA ARQUITECTURA PREHISPANICA
H0356  HISTORIA DE LA ARQUITECTURA SIGLO XX
TH560  HISTORIA DE LA ARQUITECTURA SIGLO XX
H0350  HISTORIA DE LA ARQUITECTURA SIGLOS XVII Y XVIII
TH555  HISTORIA DE LA ARQUITECTURA SIGLOS XVII Y XVIII
TH149  HISTORIA DE LA ARQUITECTURA Y URBANISMO I
TH150  HISTORIA DE LA ARQUITECTURA Y URBANISMO II
TH151  HISTORIA DE LA ARQUITECTURA Y URBANISMO III
TH147  HISTORIA DE LA COMUNICACION GRAFICA
TH143  HISTORIA DE LA DANZA EN MEXICO I
TH144  HISTORIA DE LA DANZA EN MEXICO II
TH141  HISTORIA DE LA DANZA I
TH142  HISTORIA DE LA DANZA II
TH267  HISTORIA DE LA ENSEÑANZA DE LA ARQUITECTURA
I2823  HISTORIA DE LA ENSEÑANZA DE LA MUSICA
TH538  HISTORIA DE LA ESCULTURA
TH145  HISTORIA DE LA FOTOGRAFIA
TH537  HISTORIA DE LA FOTOGRAFIA
TH176  HISTORIA DE LA MUSICA I
TH177  HISTORIA DE LA MUSICA II
TH178  HISTORIA DE LA MUSICA III
TH179  HISTORIA DE LA MUSICA IV
TH174  HISTORIA DE LA OPERA I
TH175  HISTORIA DE LA OPERA II
TH209  HISTORIA DE LAS ARTES DECORATIVAS
TH201  HISTORIA DE LAS ARTES ESCENICAS EN MEXICO
TH196  HISTORIA DE LAS ARTES ESCENICAS I
TH197  HISTORIA DE LAS ARTES ESCENICAS II
TH103  HISTORIA DE LAS ARTES PLASTICAS EN MEXICO I
TH104  HISTORIA DE LAS ARTES PLASTICAS EN MEXICO II
TH100  HISTORIA DE LAS ARTES PLASTICAS I
TH101  HISTORIA DE LAS ARTES PLASTICAS II
TH102  HISTORIA DE LAS ARTES PLASTICAS III
AV516  HISTORIA DE LAS ARTES VISUALES
TH263  HISTORIA DE LAS CULTURAS
TH268  HISTORIA DE LOS TRATADISTAS
H0396  HISTORIA DEL ARTE
TH140  HISTORIA DEL ARTE
TH650  HISTORIA DEL ARTE
TH532  HISTORIA DEL ARTE EN JALISCO
TH111  HISTORIA DEL ARTE EN MEXICO
TH536  HISTORIA DEL ARTE MEXICANO
TH737  HISTORIA DEL ARTE Y LA CULTURA CUBANOS
TH255  HISTORIA DEL CINE I
TH256  HISTORIA DEL CINE II
TH257  HISTORIA DEL CINE MEXICANO I
TH258  HISTORIA DEL CINE MEXICANO II
H0270  HISTORIA DEL DIBUJO ARQUITECTONICO
PU510  HISTORIA DEL DIBUJO ARQUITECTONICO
TH146  HISTORIA DEL DISEÑO INDUSTRIAL
TH247  HISTORIA DEL MUEBLE
EN133  HISTORIA DEL PENSAMIENTO ECONOMICO I
EN134  HISTORIA DEL PENSAMIENTO ECONOMICO II
H0315  HISTORIA DEL URBANISMO CONTEMPORANEO
TH658  HISTORIA DEL URBANISMO CONTEMPORANEO
H0310  HISTORIA DEL URBANISMO EN GUADALAJARA
TH712  HISTORIA DEL URBANISMO EN GUADALAJARA
I2007  HISTORIA DEL VESTIDO MEXICANO
CJ119  HISTORIA ECONOMICA DE MEXICO I
CJ121  HISTORIA ECONOMICA GENERAL I
CJ120  HISTORIA ECONOMICA GENERAL II
A0095  HISTORIA GENERAL DE LAS CULTURAS
A0415  HISTORIA GENERAL DEL ARTE
TH105  HISTORIA GENERAL DEL ARTE
TH148  HISTORIA GRAFICA MEXICANA
H0360  HISTORIA Y TEORIA DE LA CONSERVACION I
TH564  HISTORIA Y TEORIA DE LA CONSERVACION I
H0361  HISTORIA Y TEORIA DE LA CONSERVACION II
TH565  HISTORIA Y TEORIA DE LA CONSERVACION II
I2010  HISTORIA Y TEORIA DEL DISEÑO DE MODAS
I2005  HISTORIA Y TEORIA GENERAL DE LOS DISEÑOS
I1996  HISTORIA Y TEORIA GENERAL DEL ARTE
TH580  IDENTIDAD, FORMA, ESPACIO Y TIEMPO EN LA ARQUITECTURA
A0007  IDENTIDADES CULTURALES
I3735  IDENTIDADES CULTURALES Y GESTION DE REDES
I2123  IDIOMA EXTRANJERO
TC109  ILUMINACION
A0139  ILUMINACION CON LUZ NATURAL Y AMBIENTAL
A0140  ILUMINACION EN ESTUDIO
A0133  ILUMINACION ESCENICA
TC138  ILUMINACION PARA EL VIDEO
RE129  ILUSTRACION I
RE130  ILUSTRACION II
RE131  ILUSTRACION III
RE132  ILUSTRACION IV
RE133  ILUSTRACION V
I2026  ILUSTRACION VECTORIAL PARA MODA
RE134  ILUSTRACION VI
I2827  IMAGEN E IMAGINARIO
H0379  IMAGEN URBANA
PU170  IMAGEN URBANA
TH631  IMAGEN URBANA
I2109  IMAGEN Y ESTILISMO
PU197  IMPACTO URBANO AMBIENTAL
A0161  IMPRESIONES FINAS BLANCO Y NEGRO
A0162  IMPRESIONES FINAS COLOR
I1806  IMPROVISACION Y PUESTA EN ESCENA
TH687  INDUSTRIA DE LA CONSTRUCCION
PU213  INDUSTRIA, CIUDAD Y TERRITORIO
TH688  INDUSTRIALIZACION, MIGRACION Y EMPLEO
H0299  INFRAESTRUCTURA Y EQUIPAMIENTO COLECTIVO
TH679  INFRAESTRUCTURA Y EQUIPAMIENTO COLECTIVO
PU201  INFRAESTRUCTURAS TERRITORIALES
PU200  INFRAESTRUCTURAS URBANAS
PU164  INGENIERIA DE TRANSITO
PU177  INGENIERIA URBANA
I2122  INGLES
A0324  INGLES APLICADO A LA MUSICA I
A0325  INGLES APLICADO A LA MUSICA II
A0326  INGLES APLICADO A LA MUSICA III
TH242  INGLES BASICO
TH124  INGLES I
TH125  INGLES II
TH126  INGLES III
TH243  INGLES TECNICO
P0530  INNOVACION TECNOLOGICA
H0383  INNOVACION TECNOLOGICA
TC515  INNOVACION TECNOLOGICA
PD516  INNOVACION Y APLICACION TECNOLOGICA
H0369  INSTALACION DE EDIFICIOS Y RESTAURACION
TH573  INSTALACIONES DE EDIFICIOS EN RESTAURACION
TC110  INSTALACIONES ESPECIFICAS
TC123  INSTALACIONES I
TC124  INSTALACIONES II
A0371  INSTRUCCION MUSICAL EN LA EDUCACION BASICA I
A0372  INSTRUCCION MUSICAL EN LA EDUCACION BASICA II
A0363  INSTRUMENTO I
A0409  INSTRUMENTO I
MU226  INSTRUMENTO I
MU299  INSTRUMENTO I
MU323  INSTRUMENTO I
A0364  INSTRUMENTO II
A0410  INSTRUMENTO II
MU227  INSTRUMENTO II
MU300  INSTRUMENTO II
MU324  INSTRUMENTO II
A0365  INSTRUMENTO III
A0411  INSTRUMENTO III
MU228  INSTRUMENTO III
MU301  INSTRUMENTO III
MU325  INSTRUMENTO III
A0366  INSTRUMENTO IV
A0412  INSTRUMENTO IV
MU229  INSTRUMENTO IV
MU302  INSTRUMENTO IV
MU326  INSTRUMENTO IV
MU279  INSTRUMENTO O CANTO COMPLEMENTARIO I
MU280  INSTRUMENTO O CANTO COMPLEMENTARIO II
MU281  INSTRUMENTO O CANTO COMPLEMENTARIO III
MU282  INSTRUMENTO O CANTO COMPLEMENTARIO IV
A0334  INSTRUMENTO O CANTO COMPLEMENTARIO V
MU283  INSTRUMENTO O CANTO COMPLEMENTARIO V
A0335  INSTRUMENTO O CANTO COMPLEMENTARIO VI
MU284  INSTRUMENTO O CANTO COMPLEMENTARIO VI
A0336  INSTRUMENTO O CANTO COMPLEMENTARIO VII
MU285  INSTRUMENTO O CANTO COMPLEMENTARIO VII
A0337  INSTRUMENTO O CANTO COMPLEMENTARIO VIII
MU286  INSTRUMENTO O CANTO COMPLEMENTARIO VIII
A0367  INSTRUMENTO V
A0413  INSTRUMENTO V
MU230  INSTRUMENTO V
MU303  INSTRUMENTO V
MU327  INSTRUMENTO V
A0368  INSTRUMENTO VI
A0414  INSTRUMENTO VI
MU231  INSTRUMENTO VI
MU304  INSTRUMENTO VI
MU328  INSTRUMENTO VI
A0369  INSTRUMENTO VII
MU232  INSTRUMENTO VII
MU305  INSTRUMENTO VII
A0370  INSTRUMENTO VIII
MU233  INSTRUMENTO VIII
MU306  INSTRUMENTO VIII
H0313  INSTRUMENTOS DE PLANEACION URBANA
P0522  INTEGRACION FORMAL
AV506  INTEGRACION MORFOCROMATICA
A0712  INTERTEXTOS, PARATEXTOS E HIPERTEXTOS FILMICOS
IS528  INTERTEXTOS, PARATEXTOS E HIPERTEXTOS FILMICOS
S0261  INTERTEXTOS,PARATEXTOS E HIPERTEXTOS FILMICOS
AE198  INTRODUCCION A LA ACTUACION EN RADIO, TELEVISION Y CINE
PD504  INTRODUCCION A LA ADMINISTRACION
A0407  INTRODUCCION A LA APRECIACION MUSICAL I
A0408  INTRODUCCION A LA APRECIACION MUSICAL II
PU176  INTRODUCCION A LA CONSERVACION DEL PATRIMONIO
A0295  INTRODUCCION A LA DANZA CONTEMPORANEA
PR141  INTRODUCCION A LA MULTIMEDIA
MU504  INTRODUCCION A LA MUSICOTERAPIA
TH724  INTRODUCCION A LA SEMIOTICA
TH534  INTRODUCCION AL ARTE ORIENTAL
PU196  INTRODUCCION AL MEDIO AMBIENTE Y EL DESARROLLO SOSTENIBLE
PU191  INTRODUCCION AL ORDENAMIENTO TERRITORIAL
PR140  INTRODUCCION AL VIDEO
H0377  INVENTARIOS DEL PATRIMONIO
TH629  INVENTARIOS DEL PATRIMONIO
DI501  INVESTIGACION CIENTIFICA
H0325  INVESTIGACION CIENTIFICA
TH222  INVESTIGACION ESCENICA I (FUNDAMENTOS)
TH223  INVESTIGACION ESCENICA II
TH235  INVESTIGACION MUSICAL I
TH236  INVESTIGACION MUSICAL II
TH237  INVESTIGACION MUSICAL III
TH238  INVESTIGACION MUSICAL IV
A0349  ITALIANO APLICADO A LA MUSICA I
A0350  ITALIANO APLICADO A LA MUSICA II
TH180  ITALIANO I
TH181  ITALIANO II
TH182  ITALIANO III
PQ120  JARDINERIA I
PQ121  JARDINERIA II
IS522  LA ADAPTACION DE LA OBRA LITERARIA  O GUION CINEMATOGRAFICO
A0706  LA ADAPTACION DE LA OBRA LITERARIA A GUION CINEMATOGRAFICO
S0255  LA ADAPTACION DE LA OBRA LITERARIA A GUION CINEMATOGRAFICO
TH596  LA CULTURA EN LA CONCEPCION Y APROPIACION DE LA VIVIENDA
TH579  LA ESTETICA EN LA ARQUITECTURA
TH519  LA FOTOGRAFIA Y SU CONTEXTO
H0287  LA GESTION DE LA CIUDAD
TH665  LA GESTION DE LA CIUDAD
I2800  LA HISTORIA DEL ARTE DESDE LA REPRESENTACION
TH509  LA IMAGEN Y SU LECTURA
A0428  LA MUSICA DESDE LA ANTIGUEDAD AL RENACIMIENTO
A0429  LA MUSICA EN EL BARROCO Y EL CLASICO
A0311  LA MUSICA, PERIODOS MODERNO Y CONTEMPORANEO
A0310  LA MUSICA, PERIODOS ROMANTICO E IMPRESIONISTA
A0229  LA MUSICA, SUS ELEMENTOS Y ESTRUCTURAS
A0688  LA NARRATIVA FILMICA
S0228  LA NARRATIVA FILMICA
IS504  LA NARRATIVA FILMICA
TH648  LA NEGRITUD Y EL ARTE EN LATINOAMERICA
TH575  LA NORMATIVIDAD ARQUITECTONICA
TH504  LA PERCEPCION Y EL ANALISIS FORMAL
TH597  LA PRODUCCION DE LA VIVIENDA Y LA ARQUITECTURA DE SISTEMAS
A0298  LA PUESTA EN ESCENA
H0395  LA SEMIOTICA DE C. SPEIRCE
TH649  LA SEMIOTICA DE C.S.PEIRCE
TH576  LA SIGNIFICACION DE LA ARQUITECTURA
I2832  LA TECNOLOGIA Y EL ARTE
H0378  LA VIVIENDA Y LA CIUDAD
TH630  LA VIVIENDA Y LA CIUDAD
PD521  LABORATOIO EXPERIMENTAL DE ENSAYE DE MATERIALES
TC504  LABORATORIO DE ENSAYE DE MATERIALES I
TC505  LABORATORIO DE ENSAYE DE MATERIALES II
A0121  LABORATORIO DE EXPERIMENTACION CONCEPTUAL
A0122  LABORATORIO DE EXPERIMENTACION VISUAL
A0289  LABORATORIO DE EXPRESION
AV106  LABORATORIO DE FUNDAMENTOS
PU226  LABORATORIO DE INFRAESTRUCTURAS URBANAS TERRITORIALES Y MEDIO AMBIENTE I
PU227  LABORATORIO DE INFRAESTRUCTURAS URBANAS TERRITORIALES Y MEDIO AMBIENTE II
PU517  LABORATORIO DE INVESTIGACION DOCTORAL
PU220  LABORATORIO DE PLANEAMIENTO URBANO ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE I
PU221  LABORATORIO DE PLANEAMIENTO URBANO ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE II
PU211  LABORATORIO DE PLANEAMIENTO Y MEDIO AMBIENTE II
PU210  LABORATORIO DE PLANEAMIENTO, PATRIMONIO Y MEDIO AMBIENTE I
A0172  LABORATORIO DE RESTAURACION DE BIENES MUEBLES
I4370  LABORATORIO DE TECNOLOGIAS PARA EL ANALISIS ACUSTICO Y ORGANOLOGIA
A0670  LABORATORIO DE TRANSCRIPCION I
MU516  LABORATORIO DE TRANSCRIPCION I
A0671  LABORATORIO DE TRANSCRIPCION II
MU520  LABORATORIO DE TRANSCRIPCION II
I4369  LABORATORIO DE TRANSCRIPCION Y ANALISIS DEL LENGUAJE ORAL
A0159  LABORATORIO FOTOGRAFICO BLANCO Y NEGRO AVANZADO
A0127  LABORATORIO FOTOGRAFICO BLANCO Y NEGRO BASICO
A0160  LABORATORIO FOTOGRAFICO COLOR AVANZADO
A0128  LABORATORIO FOTOGRAFICO COLOR BASICO
AV171  LABORATORIO FOTOGRAFICO I
AV172  LABORATORIO FOTOGRAFICO II
AV173  LABORATORIO FOTOGRAFICO III
AV174  LABORATORIO FOTOGRAFICO IV
AV175  LABORATORIO FOTOGRAFICO V
AV176  LABORATORIO FOTOGRAFICO VI
AV177  LABORATORIO FOTOGRAFICO VII
I2821  LABORATORIOS ARTISTICOS
H0272  LAS NUEVAS TECNOLOGIAS INFORMATICAS PARA EL ANALISIS TERRITORIAL Y SU APLICACION PARA EL ESTUDIO DE UN CENTRO HISTORICO
PU512  LAS NUEVAS TECNOLOGIAS INFORMATICAS PARA EL ANALISIS TERRITORIAL Y SU APLICACION PARA EL ESTUDIO DE UN CENTRO HISTORICO
TH539  LAS PRINCIPALES CORRIENTES PICTORICAS
TH731  LAS VANGUARDIAS EUROPEAS
A0347  LATIN APLICADO A LA MUSICA I
